Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,0,41.99995383,42.0
Scrypt,0,1055184902.04,532000000.0
X13,0,29279424622.5027,314159265359.0
SHA-256,2,17927175.0,21000000.0
Ethash,2,107684222.6865,0.0
Scrypt,2,63039243.30000489,84000000.0
X11,0,9031294.37563393,22000000.0
CryptoNight-V7,2,17201143.1449131,0.0
Ethash,2,113359703.0,210000000.0
Equihash,2,7383056.25,21000000.0
SHA-512,2,2741570000.0,3600570502.0
Multiple,2,11406219141.0,21000000000.0
SHA-256,0,1288862.0,22000000.0
SHA-256,2,11995334.8847328,12500000.0
Scrypt,2,5768310.0,21000000.0
X15,0,25542535.5881841,350000000.0
X11,2,11149733.9976203,20000000.0
Scrypt,2,12205795.444954902,64000000.0
Scrypt,0,18135099.992959,16768584.0
Scrypt,0,635423900.0,0.0
Multiple,2,1688254250.0,2000000000.0
Scrypt,2,88.0,384000000000.0
SHA-256,2,170204389.754849,169795588.0
Scrypt,2,128940951.183046,250000000.0
Scrypt,2,7357794.7925,100000000.0
Scrypt,0,123062801.128773,0.0
Quark,2,259557164.91477,247000000.0
Groestl,2,49548585.14129171,84000000.0
Scrypt,2,33442988.3440364,48166000.0
Scrypt,0,42579.476901,500000.0
Scrypt,2,7219956.64626131,21000000.0
Scrypt,0,1039116.65144562,1000000.0
Scrypt,2,4703879.51824446,13140000.0
X11,2,4996986.20575291,18000000.0
Scrypt,2,39999997299.8568,40000000000.0
Groestl,0,3304487.74735637,4380000.0
Multiple,2,15929530669.1206,16555000000.0
SHA-256,2,18773857500.0,21000000000.0
Scrypt,2,12539015186.821999,13500000000.0
Scrypt,2,20910478.806249898,21000000.0
Scrypt,2,218871896.499999,299792458.0
Scrypt,2,19496786.31025,32000000.0
PoS,2,5679705.0,0.0
Scrypt,2,461829905.32892996,0.0
Scrypt,2,1142732.14912776,11235813.0
NeoScrypt,2,208669093.00773,336000000.0
Scrypt,2,884125802.0,1420609614.0
Scrypt,2,65672720.470874794,70000000.0
Scrypt,2,41658647.9999715,72245700.0
Scrypt,0,89266933.684704,120000000.0
X11,2,1678520090.7713,0.0
Scrypt,2,90595753018.6314,90600000000.0
X11,0,17650913.974345602,22000000.0
SHA-256,2,21089348.999,21000000.0
Scrypt,2,151447649.8,265420800.0
Scrypt,2,19326319.14375,20000000.0
Scrypt,2,1104344.22938102,1350000.0
SHA3,0,61445805.0,100000000.0
Scrypt,2,38151999.993099704,42000000.0
HybridScryptHash256,2,40431856.9,200000000.0
Scrypt,2,21293925445.4969,0.0
Scrypt,2,5804204.88794916,10000000.0
SHA-256,0,1613836099.99999,2419200000.0
Scrypt,2,16180000.0,16180000.0
X13,0,66087096.20771079,0.0
Scrypt,2,2366066305.76482,15000000000.0
SHA-256,2,14736400.0,21000000.0
Scrypt,2,334709223.48313797,337000000.0
X13,0,15156364.3306548,0.0
NeoScrypt,0,3220616.279225,3770000.0
Scrypt,0,222677226.014206,420000000.0
Scrypt,0,73959274.625,98000000.0
Scrypt,0,29315567169.0888,0.0
Scrypt,2,1104157.42169891,21000000.0
Scrypt,2,24215181.725,250000000.0
Scrypt,2,25593737.1355044,51200000.0
X11,2,50707661.74935179,0.0
X11,0,1177.0,1000.0
SHA-256,2,563336541.299966,888000000.0
Multiple,2,80260463.7331396,100000000.0
SHA-256,2,43536800.0,47011968.0
PHI1612,2,1622326490.46336,2300000000.0
X11,0,1431851.00002479,10000000.0
SHA-256,2,22935396.0,42000000.0
SHA-256,2,2278150.0,80000000.0
SHA-256,2,200911.79151896,250000.0
X11,2,1207310.0,0.0
Scrypt,0,1098952592.6,1600000000.0
Scrypt,0,50235211.141939,100000000.0
